Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 30, 150)",Abel 16x16 2000 10k,2,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,2,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,2,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,2,3.958333333333333,0,-
"(16, 30, 150)",Kane + MCTS,2,1.875,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,3,3.125,0,-
"(16, 30, 150)",Abel 16x16 750 100k,3,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,3,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,3,0.625,0,-
"(16, 30, 150)",Kane + MCTS,3,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,4,2.083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,4,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,4,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,4,0.625,0,-
"(16, 30, 150)",Kane + MCTS,4,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,5,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,5,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,5,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,5,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,5,1.6666666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,6,1.875,0,-
"(16, 30, 150)",Abel 16x16 750 100k,6,0.4166666666666667,0,-
"(16, 30, 150)",Abel 4x4 100k 100,6,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,6,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,6,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,7,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,7,2.083333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,7,2.9166666666666665,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,7,1.25,0,-
"(16, 30, 150)",Kane + MCTS,7,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,8,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,8,1.25,0,-
"(16, 30, 150)",Abel 4x4 100k 100,8,1.25,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,8,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,8,1.875,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,9,0.625,0,-
"(16, 30, 150)",Abel 16x16 750 100k,9,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,9,0.8333333333333334,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,9,1.25,0,-
"(16, 30, 150)",Kane + MCTS,9,0.8333333333333334,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,10,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,10,2.9166666666666665,0,-
"(16, 30, 150)",Abel 4x4 100k 100,10,2.083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,10,1.0416666666666663,0,-
"(16, 30, 150)",Kane + MCTS,10,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,11,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,11,2.5,0,-
"(16, 30, 150)",Abel 4x4 100k 100,11,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,11,0.8333333333333334,0,-
"(16, 30, 150)",Kane + MCTS,11,2.708333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,12,1.4583333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,12,0.8333333333333334,0,-
"(16, 30, 150)",Abel 4x4 100k 100,12,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,12,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,12,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,13,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,13,1.25,0,-
"(16, 30, 150)",Abel 4x4 100k 100,13,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,13,1.25,0,-
"(16, 30, 150)",Kane + MCTS,13,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,14,0.4166666666666667,0,-
"(16, 30, 150)",Abel 16x16 750 100k,14,2.708333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,14,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,14,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,14,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,15,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,15,0.4166666666666667,0,-
"(16, 30, 150)",Abel 4x4 100k 100,15,1.6666666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,15,3.958333333333333,0,-
"(16, 30, 150)",Kane + MCTS,15,1.25,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,16,2.083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,16,0.2083333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,16,0.625,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,16,0.8333333333333334,0,-
"(16, 30, 150)",Kane + MCTS,16,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,17,1.875,0,-
"(16, 30, 150)",Abel 16x16 750 100k,17,3.333333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,17,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,17,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,17,2.083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,18,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,18,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,18,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,18,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,18,1.25,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,19,0.625,0,-
"(16, 30, 150)",Abel 16x16 750 100k,19,0.8333333333333334,0,-
"(16, 30, 150)",Abel 4x4 100k 100,19,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,19,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,19,1.0416666666666663,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,20,2.2916666666666665,0,-
"(16, 30, 150)",Abel 16x16 750 100k,20,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,20,0.625,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,20,0.8333333333333334,0,-
"(16, 30, 150)",Kane + MCTS,20,0.2083333333333333,0,0.0
"(16, 30, 20)",Abel 16x16 2000 10k,1,94.58333333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,1,94.58333333333331,0,-
"(16, 30, 20)",Abel 4x4 100k 100,1,91.66666666666666,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,1,93.54166666666669,0,-
"(16, 30, 20)",Kane + MCTS,1,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,2,92.29166666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,2,92.91666666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,2,90.625,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,2,94.16666666666669,0,-
"(16, 30, 20)",Kane + MCTS,2,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,3,90.83333333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,3,94.375,0,-
"(16, 30, 20)",Abel 4x4 100k 100,3,95.41666666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,3,94.16666666666669,0,-
"(16, 30, 20)",Kane + MCTS,3,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,4,89.79166666666667,0,-
"(16, 30, 20)",Abel 16x16 750 100k,4,0.2083333333333333,0,-
"(16, 30, 20)",Abel 4x4 100k 100,4,93.75,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,4,94.375,0,-
"(16, 30, 20)",Kane + MCTS,4,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,5,94.16666666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,5,0.2083333333333333,0,-
"(16, 30, 20)",Abel 4x4 100k 100,5,93.54166666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,5,91.45833333333331,0,-
"(16, 30, 20)",Kane + MCTS,5,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,6,92.91666666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,6,94.16666666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,6,93.33333333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,6,93.125,0,-
"(16, 30, 20)",Kane + MCTS,6,0.4166666666666667,0,0.0
"(16, 30, 20)",Abel 16x16 2000 10k,7,90.20833333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,7,89.58333333333334,0,-
"(16, 30, 20)",Abel 4x4 100k 100,7,93.125,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,7,87.29166666666667,0,-
"(16, 30, 20)",Kane + MCTS,7,95.83333333333334,1,3.958333333333333
"(16, 30, 20)",Abel 16x16 2000 10k,8,0.4166666666666667,0,-
"(16, 30, 20)",Abel 16x16 750 100k,8,92.91666666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,8,93.54166666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,8,0.2083333333333333,0,-
"(16, 30, 20)",Kane + MCTS,8,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,9,93.54166666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,9,93.75,0,-
"(16, 30, 20)",Abel 4x4 100k 100,9,93.95833333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,9,93.33333333333331,0,-
"(16, 30, 20)",Kane + MCTS,9,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,10,93.33333333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,10,92.70833333333334,0,-
"(16, 30, 20)",Abel 4x4 100k 100,10,94.16666666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,10,94.16666666666669,0,-
"(16, 30, 20)",Kane + MCTS,10,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,11,92.08333333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,11,94.16666666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,11,90.20833333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,11,94.79166666666666,0,-
"(16, 30, 20)",Kane + MCTS,11,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,12,94.375,0,-
"(16, 30, 20)",Abel 16x16 750 100k,12,93.33333333333331,0,-
"(16, 30, 20)",Abel 4x4 100k 100,12,92.70833333333334,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,12,92.5,0,-
"(16, 30, 20)",Kane + MCTS,12,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,13,90.41666666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,13,94.79166666666666,0,-
"(16, 30, 20)",Abel 4x4 100k 100,13,92.08333333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,13,90.20833333333331,0,-
"(16, 30, 20)",Kane + MCTS,13,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,14,94.375,0,-
"(16, 30, 20)",Abel 16x16 750 100k,14,95.625,0,-
"(16, 30, 20)",Abel 4x4 100k 100,14,90.83333333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,14,93.54166666666669,0,-
"(16, 30, 20)",Kane + MCTS,14,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,15,94.375,0,-
"(16, 30, 20)",Abel 16x16 750 100k,15,94.375,0,-
"(16, 30, 20)",Abel 4x4 100k 100,15,94.79166666666666,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,15,93.33333333333331,0,-
"(16, 30, 20)",Kane + MCTS,15,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,16,91.875,0,-
"(16, 30, 20)",Abel 16x16 750 100k,16,93.75,0,-
"(16, 30, 20)",Abel 4x4 100k 100,16,93.54166666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,16,94.79166666666666,0,-
"(16, 30, 20)",Kane + MCTS,16,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,17,93.33333333333331,0,-
"(16, 30, 20)",Abel 16x16 750 100k,17,93.95833333333331,0,-
"(16, 30, 20)",Abel 4x4 100k 100,17,94.58333333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,17,0.4166666666666667,0,-
"(16, 30, 20)",Kane + MCTS,17,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,18,94.375,0,-
"(16, 30, 20)",Abel 16x16 750 100k,18,94.375,0,-
"(16, 30, 20)",Abel 4x4 100k 100,18,92.08333333333331,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,18,94.16666666666669,0,-
"(16, 30, 20)",Kane + MCTS,18,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,19,93.54166666666669,0,-
"(16, 30, 20)",Abel 16x16 750 100k,19,93.54166666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,19,94.16666666666669,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,19,94.58333333333331,0,-
"(16, 30, 20)",Kane + MCTS,19,95.83333333333334,1,4.166666666666666
"(16, 30, 20)",Abel 16x16 2000 10k,20,91.25,0,-
"(16, 30, 20)",Abel 16x16 750 100k,20,94.16666666666669,0,-
"(16, 30, 20)",Abel 4x4 100k 100,20,93.125,0,-
"(16, 30, 20)",Abel 8x8 10k 1000,20,92.91666666666669,0,-
"(16, 30, 20)",Kane + MCTS,20,95.83333333333334,1,4.166666666666666
"(16, 30, 99)",Abel 16x16 2000 10k,1,1.6666666666666667,0,-
"(16, 30, 99)",Abel 16x16 750 100k,1,0.2083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,1,1.4583333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,1,0.625,0,-
"(16, 30, 99)",Kane + MCTS,1,0.8333333333333334,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,2,0.8333333333333334,0,-
"(16, 30, 99)",Abel 16x16 750 100k,2,1.4583333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,2,2.2916666666666665,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,2,0.625,0,-
"(16, 30, 99)",Kane + MCTS,2,0.4166666666666667,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,3,4.583333333333333,0,-
"(16, 30, 99)",Abel 16x16 750 100k,3,0.4166666666666667,0,-
"(16, 30, 99)",Abel 4x4 100k 100,3,0.4166666666666667,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,3,1.25,0,-
"(16, 30, 99)",Kane + MCTS,3,0.4166666666666667,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,4,1.875,0,-
"(16, 30, 99)",Abel 16x16 750 100k,4,0.625,0,-
"(16, 30, 99)",Abel 4x4 100k 100,4,2.2916666666666665,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,4,0.8333333333333334,0,-
"(16, 30, 99)",Kane + MCTS,4,2.083333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,5,0.8333333333333334,0,-
"(16, 30, 99)",Abel 16x16 750 100k,5,2.083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,5,0.2083333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,5,2.708333333333333,0,-
"(16, 30, 99)",Kane + MCTS,5,0.2083333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,6,0.625,0,-
"(16, 30, 99)",Abel 16x16 750 100k,6,0.4166666666666667,0,-
"(16, 30, 99)",Abel 4x4 100k 100,6,0.625,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,6,0.625,0,-
"(16, 30, 99)",Kane + MCTS,6,0.8333333333333334,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,7,0.625,0,-
"(16, 30, 99)",Abel 16x16 750 100k,7,1.875,0,-
"(16, 30, 99)",Abel 4x4 100k 100,7,0.2083333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,7,1.4583333333333333,0,-
"(16, 30, 99)",Kane + MCTS,7,2.083333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,8,0.8333333333333334,0,-
"(16, 30, 99)",Abel 16x16 750 100k,8,1.0416666666666663,0,-
"(16, 30, 99)",Abel 4x4 100k 100,8,0.8333333333333334,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,8,2.5,0,-
"(16, 30, 99)",Kane + MCTS,8,0.2083333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,9,1.0416666666666663,0,-
"(16, 30, 99)",Abel 16x16 750 100k,9,2.5,0,-
"(16, 30, 99)",Abel 4x4 100k 100,9,2.5,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,9,0.8333333333333334,0,-
"(16, 30, 99)",Kane + MCTS,9,0.2083333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,10,0.2083333333333333,0,-
"(16, 30, 99)",Abel 16x16 750 100k,10,0.2083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,10,0.2083333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,10,1.0416666666666663,0,-
"(16, 30, 99)",Kane + MCTS,10,1.4583333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,11,0.4166666666666667,0,-
"(16, 30, 99)",Abel 16x16 750 100k,11,0.4166666666666667,0,-
"(16, 30, 99)",Abel 4x4 100k 100,11,1.25,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,11,1.0416666666666663,0,-
"(16, 30, 99)",Kane + MCTS,11,0.4166666666666667,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,12,0.2083333333333333,0,-
"(16, 30, 99)",Abel 16x16 750 100k,12,0.2083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,12,0.4166666666666667,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,12,1.25,0,-
"(16, 30, 99)",Kane + MCTS,12,3.333333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,13,0.2083333333333333,0,-
"(16, 30, 99)",Abel 16x16 750 100k,13,1.6666666666666667,0,-
"(16, 30, 99)",Abel 4x4 100k 100,13,0.625,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,13,0.2083333333333333,0,-
"(16, 30, 99)",Kane + MCTS,13,0.8333333333333334,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,14,1.6666666666666667,0,-
"(16, 30, 99)",Abel 16x16 750 100k,14,0.2083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,14,0.625,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,14,2.708333333333333,0,-
"(16, 30, 99)",Kane + MCTS,14,0.4166666666666667,0,0.0
