Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 30, 99)",Abel 16x16 2000 10k,15,1.0416666666666663,0,-
"(16, 30, 99)",Abel 16x16 750 100k,15,2.2916666666666665,0,-
"(16, 30, 99)",Abel 4x4 100k 100,15,0.4166666666666667,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,15,0.2083333333333333,0,-
"(16, 30, 99)",Kane + MCTS,15,0.4166666666666667,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,16,0.8333333333333334,0,-
"(16, 30, 99)",Abel 16x16 750 100k,16,2.2916666666666665,0,-
"(16, 30, 99)",Abel 4x4 100k 100,16,1.0416666666666663,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,16,1.0416666666666663,0,-
"(16, 30, 99)",Kane + MCTS,16,0.625,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,17,2.9166666666666665,0,-
"(16, 30, 99)",Abel 16x16 750 100k,17,0.8333333333333334,0,-
"(16, 30, 99)",Abel 4x4 100k 100,17,0.4166666666666667,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,17,0.2083333333333333,0,-
"(16, 30, 99)",Kane + MCTS,17,5.833333333333333,0,1.25
"(16, 30, 99)",Abel 16x16 2000 10k,18,1.6666666666666667,0,-
"(16, 30, 99)",Abel 16x16 750 100k,18,0.8333333333333334,0,-
"(16, 30, 99)",Abel 4x4 100k 100,18,4.166666666666666,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,18,3.5416666666666665,0,-
"(16, 30, 99)",Kane + MCTS,18,0.4166666666666667,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,19,1.0416666666666663,0,-
"(16, 30, 99)",Abel 16x16 750 100k,19,0.4166666666666667,0,-
"(16, 30, 99)",Abel 4x4 100k 100,19,0.2083333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,19,0.2083333333333333,0,-
"(16, 30, 99)",Kane + MCTS,19,1.4583333333333333,0,0.0
"(16, 30, 99)",Abel 16x16 2000 10k,20,1.0416666666666663,0,-
"(16, 30, 99)",Abel 16x16 750 100k,20,0.2083333333333333,0,-
"(16, 30, 99)",Abel 4x4 100k 100,20,0.2083333333333333,0,-
"(16, 30, 99)",Abel 8x8 10k 1000,20,0.8333333333333334,0,-
"(16, 30, 99)",Kane + MCTS,20,1.25,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,1,3.125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,1,1.5625,0,-
"(8, 8, 10)",Abel 4x4 100k 100,1,1.5625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,1,12.5,0,-
"(8, 8, 10)",Kane + MCTS,1,20.3125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,2,51.5625,0,-
"(8, 8, 10)",Abel 16x16 750 100k,2,59.375,0,-
"(8, 8, 10)",Abel 4x4 100k 100,2,6.25,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,2,42.1875,0,-
"(8, 8, 10)",Kane + MCTS,2,1.5625,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,3,3.125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,3,50.0,0,-
"(8, 8, 10)",Abel 4x4 100k 100,3,50.0,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,3,3.125,0,-
"(8, 8, 10)",Kane + MCTS,3,4.6875,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,4,3.125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,4,10.9375,0,-
"(8, 8, 10)",Abel 4x4 100k 100,4,12.5,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,4,9.375,0,-
"(8, 8, 10)",Kane + MCTS,4,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,5,4.6875,0,-
"(8, 8, 10)",Abel 16x16 750 100k,5,32.8125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,5,25.0,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,5,15.625,0,-
"(8, 8, 10)",Kane + MCTS,5,4.6875,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,6,9.375,0,-
"(8, 8, 10)",Abel 16x16 750 100k,6,3.125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,6,32.8125,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,6,62.5,0,-
"(8, 8, 10)",Kane + MCTS,6,1.5625,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,7,3.125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,7,53.125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,7,28.125,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,7,3.125,0,-
"(8, 8, 10)",Kane + MCTS,7,9.375,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,8,3.125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,8,4.6875,0,-
"(8, 8, 10)",Abel 4x4 100k 100,8,6.25,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,8,56.25,0,-
"(8, 8, 10)",Kane + MCTS,8,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,9,48.4375,0,-
"(8, 8, 10)",Abel 16x16 750 100k,9,35.9375,0,-
"(8, 8, 10)",Abel 4x4 100k 100,9,9.375,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,9,12.5,0,-
"(8, 8, 10)",Kane + MCTS,9,84.375,1,14.0625
"(8, 8, 10)",Abel 16x16 2000 10k,10,7.8125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,10,29.6875,0,-
"(8, 8, 10)",Abel 4x4 100k 100,10,23.4375,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,10,1.5625,0,-
"(8, 8, 10)",Kane + MCTS,10,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,11,1.5625,0,-
"(8, 8, 10)",Abel 16x16 750 100k,11,39.0625,0,-
"(8, 8, 10)",Abel 4x4 100k 100,11,39.0625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,11,3.125,0,-
"(8, 8, 10)",Kane + MCTS,11,10.9375,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,12,23.4375,0,-
"(8, 8, 10)",Abel 16x16 750 100k,12,35.9375,0,-
"(8, 8, 10)",Abel 4x4 100k 100,12,26.5625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,12,1.5625,0,-
"(8, 8, 10)",Kane + MCTS,12,6.25,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,13,6.25,0,-
"(8, 8, 10)",Abel 16x16 750 100k,13,12.5,0,-
"(8, 8, 10)",Abel 4x4 100k 100,13,37.5,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,13,43.75,0,-
"(8, 8, 10)",Kane + MCTS,13,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,14,4.6875,0,-
"(8, 8, 10)",Abel 16x16 750 100k,14,26.5625,0,-
"(8, 8, 10)",Abel 4x4 100k 100,14,1.5625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,14,43.75,0,-
"(8, 8, 10)",Kane + MCTS,14,84.375,1,15.625
"(8, 8, 10)",Abel 16x16 2000 10k,15,14.0625,0,-
"(8, 8, 10)",Abel 16x16 750 100k,15,3.125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,15,18.75,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,15,4.6875,0,-
"(8, 8, 10)",Kane + MCTS,15,9.375,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,16,45.3125,0,-
"(8, 8, 10)",Abel 16x16 750 100k,16,40.625,0,-
"(8, 8, 10)",Abel 4x4 100k 100,16,3.125,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,16,26.5625,0,-
"(8, 8, 10)",Kane + MCTS,16,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,17,4.6875,0,-
"(8, 8, 10)",Abel 16x16 750 100k,17,20.3125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,17,4.6875,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,17,6.25,0,-
"(8, 8, 10)",Kane + MCTS,17,3.125,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,18,17.1875,0,-
"(8, 8, 10)",Abel 16x16 750 100k,18,54.6875,0,-
"(8, 8, 10)",Abel 4x4 100k 100,18,29.6875,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,18,3.125,0,-
"(8, 8, 10)",Kane + MCTS,18,10.9375,0,0.0
"(8, 8, 10)",Abel 16x16 2000 10k,19,18.75,0,-
"(8, 8, 10)",Abel 16x16 750 100k,19,21.875,0,-
"(8, 8, 10)",Abel 4x4 100k 100,19,1.5625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,19,51.5625,0,-
"(8, 8, 10)",Kane + MCTS,19,84.375,1,15.625
"(8, 8, 10)",Abel 16x16 2000 10k,20,6.25,0,-
"(8, 8, 10)",Abel 16x16 750 100k,20,3.125,0,-
"(8, 8, 10)",Abel 4x4 100k 100,20,26.5625,0,-
"(8, 8, 10)",Abel 8x8 10k 1000,20,1.5625,0,-
"(8, 8, 10)",Kane + MCTS,20,12.5,0,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,1,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,1,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,1,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,1,96.875,1,-
"(8, 8, 2)",Kane + MCTS,1,96.875,1,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,2,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,2,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,2,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,2,95.3125,0,-
"(8, 8, 2)",Kane + MCTS,2,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,3,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,3,95.3125,0,-
"(8, 8, 2)",Abel 4x4 100k 100,3,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,3,95.3125,0,-
"(8, 8, 2)",Kane + MCTS,3,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,4,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,4,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,4,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,4,96.875,1,-
"(8, 8, 2)",Kane + MCTS,4,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,5,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,5,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,5,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,5,96.875,1,-
"(8, 8, 2)",Kane + MCTS,5,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,6,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,6,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,6,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,6,96.875,1,-
"(8, 8, 2)",Kane + MCTS,6,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,7,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,7,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,7,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,7,95.3125,0,-
"(8, 8, 2)",Kane + MCTS,7,96.875,1,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,8,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,8,89.0625,0,-
"(8, 8, 2)",Abel 4x4 100k 100,8,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,8,96.875,1,-
"(8, 8, 2)",Kane + MCTS,8,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,9,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,9,3.125,0,-
"(8, 8, 2)",Abel 4x4 100k 100,9,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,9,96.875,1,-
"(8, 8, 2)",Kane + MCTS,9,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,10,95.3125,0,-
"(8, 8, 2)",Abel 16x16 750 100k,10,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,10,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,10,96.875,1,-
"(8, 8, 2)",Kane + MCTS,10,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,11,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,11,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,11,95.3125,0,-
"(8, 8, 2)",Abel 8x8 10k 1000,11,96.875,1,-
"(8, 8, 2)",Kane + MCTS,11,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,12,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,12,1.5625,0,-
"(8, 8, 2)",Abel 4x4 100k 100,12,95.3125,0,-
"(8, 8, 2)",Abel 8x8 10k 1000,12,96.875,1,-
"(8, 8, 2)",Kane + MCTS,12,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,13,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,13,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,13,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,13,96.875,1,-
"(8, 8, 2)",Kane + MCTS,13,96.875,1,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,14,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,14,93.75,0,-
"(8, 8, 2)",Abel 4x4 100k 100,14,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,14,96.875,1,-
"(8, 8, 2)",Kane + MCTS,14,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,15,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,15,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,15,95.3125,0,-
"(8, 8, 2)",Abel 8x8 10k 1000,15,95.3125,0,-
"(8, 8, 2)",Kane + MCTS,15,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,16,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,16,95.3125,0,-
"(8, 8, 2)",Abel 4x4 100k 100,16,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,16,96.875,1,-
"(8, 8, 2)",Kane + MCTS,16,96.875,1,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,17,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,17,1.5625,0,-
"(8, 8, 2)",Abel 4x4 100k 100,17,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,17,93.75,0,-
"(8, 8, 2)",Kane + MCTS,17,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,18,95.3125,0,-
"(8, 8, 2)",Abel 16x16 750 100k,18,95.3125,0,-
"(8, 8, 2)",Abel 4x4 100k 100,18,95.3125,0,-
"(8, 8, 2)",Abel 8x8 10k 1000,18,96.875,1,-
"(8, 8, 2)",Kane + MCTS,18,96.875,1,3.125
"(8, 8, 2)",Abel 16x16 2000 10k,19,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,19,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,19,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,19,96.875,1,-
"(8, 8, 2)",Kane + MCTS,19,96.875,1,0.0
"(8, 8, 2)",Abel 16x16 2000 10k,20,96.875,1,-
"(8, 8, 2)",Abel 16x16 750 100k,20,96.875,1,-
"(8, 8, 2)",Abel 4x4 100k 100,20,96.875,1,-
"(8, 8, 2)",Abel 8x8 10k 1000,20,96.875,1,-
"(8, 8, 2)",Kane + MCTS,20,96.875,1,3.125
"(8, 8, 20)",Abel 16x16 2000 10k,1,4.6875,0,-
"(8, 8, 20)",Abel 16x16 750 100k,1,1.5625,0,-
"(8, 8, 20)",Abel 4x4 100k 100,1,3.125,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,1,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,1,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,2,6.25,0,-
"(8, 8, 20)",Abel 16x16 750 100k,2,10.9375,0,-
"(8, 8, 20)",Abel 4x4 100k 100,2,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,2,6.25,0,-
"(8, 8, 20)",Kane + MCTS,2,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,3,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,3,1.5625,0,-
"(8, 8, 20)",Abel 4x4 100k 100,3,14.0625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,3,3.125,0,-
"(8, 8, 20)",Kane + MCTS,3,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,4,3.125,0,-
"(8, 8, 20)",Abel 16x16 750 100k,4,4.6875,0,-
"(8, 8, 20)",Abel 4x4 100k 100,4,10.9375,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,4,1.5625,0,-
"(8, 8, 20)",Kane + MCTS,4,7.8125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,5,6.25,0,-
"(8, 8, 20)",Abel 16x16 750 100k,5,3.125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,5,25.0,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,5,15.625,0,-
"(8, 8, 20)",Kane + MCTS,5,1.5625,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,6,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,6,14.0625,0,-
"(8, 8, 20)",Abel 4x4 100k 100,6,4.6875,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,6,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,6,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,7,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,7,10.9375,0,-
"(8, 8, 20)",Abel 4x4 100k 100,7,9.375,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,7,6.25,0,-
"(8, 8, 20)",Kane + MCTS,7,1.5625,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,8,3.125,0,-
"(8, 8, 20)",Abel 16x16 750 100k,8,3.125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,8,6.25,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,8,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,8,4.6875,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,9,4.6875,0,-
"(8, 8, 20)",Abel 16x16 750 100k,9,3.125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,9,9.375,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,9,32.8125,0,-
"(8, 8, 20)",Kane + MCTS,9,1.5625,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,10,3.125,0,-
"(8, 8, 20)",Abel 16x16 750 100k,10,6.25,0,-
"(8, 8, 20)",Abel 4x4 100k 100,10,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,10,1.5625,0,-
"(8, 8, 20)",Kane + MCTS,10,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,11,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,11,21.875,0,-
"(8, 8, 20)",Abel 4x4 100k 100,11,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,11,6.25,0,-
"(8, 8, 20)",Kane + MCTS,11,4.6875,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,12,6.25,0,-
"(8, 8, 20)",Abel 16x16 750 100k,12,7.8125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,12,6.25,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,12,12.5,0,-
"(8, 8, 20)",Kane + MCTS,12,4.6875,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,13,4.6875,0,-
"(8, 8, 20)",Abel 16x16 750 100k,13,6.25,0,-
"(8, 8, 20)",Abel 4x4 100k 100,13,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,13,7.8125,0,-
"(8, 8, 20)",Kane + MCTS,13,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,14,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,14,10.9375,0,-
"(8, 8, 20)",Abel 4x4 100k 100,14,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,14,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,14,4.6875,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,15,15.625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,15,10.9375,0,-
"(8, 8, 20)",Abel 4x4 100k 100,15,25.0,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,15,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,15,9.375,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,16,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,16,7.8125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,16,6.25,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,16,1.5625,0,-
"(8, 8, 20)",Kane + MCTS,16,3.125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,17,4.6875,0,-
"(8, 8, 20)",Abel 16x16 750 100k,17,1.5625,0,-
"(8, 8, 20)",Abel 4x4 100k 100,17,4.6875,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,17,1.5625,0,-
"(8, 8, 20)",Kane + MCTS,17,12.5,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,18,4.6875,0,-
"(8, 8, 20)",Abel 16x16 750 100k,18,7.8125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,18,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,18,10.9375,0,-
"(8, 8, 20)",Kane + MCTS,18,20.3125,0,0.0
"(8, 8, 20)",Abel 16x16 2000 10k,19,1.5625,0,-
"(8, 8, 20)",Abel 16x16 750 100k,19,6.25,0,-
"(8, 8, 20)",Abel 4x4 100k 100,19,4.6875,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,19,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,19,78.125,1,20.3125
"(8, 8, 20)",Abel 16x16 2000 10k,20,3.125,0,-
"(8, 8, 20)",Abel 16x16 750 100k,20,7.8125,0,-
"(8, 8, 20)",Abel 4x4 100k 100,20,1.5625,0,-
"(8, 8, 20)",Abel 8x8 10k 1000,20,4.6875,0,-
"(8, 8, 20)",Kane + MCTS,20,6.25,0,0.0
